Species,Covariate,Model_Type,DIC,Bayes_P,C_Hat,modname,correlation_GAM,nrmse_GAM,LOOIC,LOOIC_lower,LOOIC_upper,cov_name
Rusa unicolor,Avg_OP_percent_3km,Linear,6866.010194479864,0.6295,1.0190385446970134,Rusa_unicolor_Avg_OP_percent_3km_Linear_2025-01-04_JMS,0.8101981580768831,25.8,NA,NA,NA,Oil Palm
Rusa unicolor,Avg_OP_percent_3km,Quadratic,7119.635281669061,0.624,1.018373608522328,Rusa_unicolor_Avg_OP_percent_3km_Quadratic_2025-01-04_JMS,0.9274444015834632,14.3,NA,NA,NA,Oil Palm
Rusa unicolor,Avg_OP_percent_3km,Cubic,6914.448089913454,0.626625,1.0185353000218256,Rusa_unicolor_Avg_OP_percent_3km_Cubic_2025-01-04_JMS,0.9922982547647445,6.7,NA,NA,NA,Oil Palm
Rusa unicolor,Avg_FLLI_3km,GAM,6859.567361303497,0.304125,0.9719020437323534,Rusa_unicolor_Avg_FLLI_3km_GAM_2025-01-04_JMS,NA,NA,NA,NA,NA,Forest Integrity
Rusa unicolor,Avg_FLLI_3km,Linear,7024.746903508009,0.622875,1.0185564700738419,Rusa_unicolor_Avg_FLLI_3km_Linear_2025-01-04_JMS,0.5444731744142952,31.3,NA,NA,NA,Forest Integrity
Rusa unicolor,Avg_FLLI_3km,Quadratic,6836.651067061746,0.631125,1.0193418870821955,Rusa_unicolor_Avg_FLLI_3km_Quadratic_2025-01-04_JMS,0.9575728483660189,9.8,NA,NA,NA,Forest Integrity
Rusa unicolor,Avg_FLLI_3km,Cubic,6941.844077365252,0.61925,1.0178577063018701,Rusa_unicolor_Avg_FLLI_3km_Cubic_2025-01-04_JMS,0.9208658276549649,20.3,NA,NA,NA,Forest Integrity
Rusa unicolor,Avg_human_footprint_3km,GAM,6799.846824516233,0.29675,0.971785968465918,Rusa_unicolor_Avg_human_footprint_3km_GAM_2025-01-04_JMS,NA,NA,NA,NA,NA,Human Footprint
Rusa unicolor,Avg_human_footprint_3km,Linear,7047.9958422588825,0.625375,1.0182329143961355,Rusa_unicolor_Avg_human_footprint_3km_Linear_2025-01-04_JMS,0.9594608152183327,21.9,NA,NA,NA,Human Footprint
Rusa unicolor,Avg_human_footprint_3km,Quadratic,7092.31367365324,0.63125,1.0189493857564784,Rusa_unicolor_Avg_human_footprint_3km_Quadratic_2025-01-04_JMS,0.8773152594234122,100.4,NA,NA,NA,Human Footprint
Rusa unicolor,Avg_human_footprint_3km,Cubic,7139.599940411469,0.63125,1.0190163818108904,Rusa_unicolor_Avg_human_footprint_3km_Cubic_2025-01-04_JMS,0.6902427121897937,188.6,NA,NA,NA,Human Footprint
Rusa unicolor,Avg_forest_cover_3km,GAM,6811.640396296905,0.311625,0.9729981789302585,Rusa_unicolor_Avg_forest_cover_3km_GAM_2025-01-04_JMS,NA,NA,NA,NA,NA,Forest Cover
Rusa unicolor,Avg_forest_cover_3km,Linear,6558.300099763674,0.6335,1.0203955587373728,Rusa_unicolor_Avg_forest_cover_3km_Linear_2025-01-04_JMS,0.9582602970966673,23.7,NA,NA,NA,Forest Cover
Rusa unicolor,Avg_forest_cover_3km,Quadratic,7048.941375713298,0.629625,1.0197385987600018,Rusa_unicolor_Avg_forest_cover_3km_Quadratic_2025-01-04_JMS,0.9005330035854356,36.2,NA,NA,NA,Forest Cover
Rusa unicolor,Avg_forest_cover_3km,Cubic,6762.32805401023,0.630875,1.0195083906147442,Rusa_unicolor_Avg_forest_cover_3km_Cubic_2025-01-04_JMS,0.9688801613489942,82.3,NA,NA,NA,Forest Cover
Muntiacus,Avg_OP_percent_3km,GAM,8466.12184988351,0.312,0.9769033833488997,Muntiacus_Avg_OP_percent_3km_GAM_2025-01-04_JMS,NA,NA,NA,NA,NA,Oil Palm
Muntiacus,Avg_OP_percent_3km,Linear,8320.326400435853,0.610375,1.0124940489221512,Muntiacus_Avg_OP_percent_3km_Linear_2025-01-04_JMS,0.9510292895433815,9.7,NA,NA,NA,Oil Palm
Muntiacus,Avg_OP_percent_3km,Quadratic,8223.059786194563,0.6105,1.0126280607207985,Muntiacus_Avg_OP_percent_3km_Quadratic_2025-01-04_JMS,0.9548142669374031,17.9,NA,NA,NA,Oil Palm
Muntiacus,Avg_OP_percent_3km,Cubic,8508.581998467827,0.609875,1.0129524699981771,Muntiacus_Avg_OP_percent_3km_Cubic_2025-01-04_JMS,0.47333647016959923,85,NA,NA,NA,Oil Palm
Muntiacus,Avg_FLLI_3km,GAM,8611.950060681907,0.3185,0.978188662802982,Muntiacus_Avg_FLLI_3km_GAM_2025-01-04_JMS,NA,NA,NA,NA,NA,Forest Integrity
Muntiacus,Avg_FLLI_3km,Linear,8117.5781434571845,0.598125,1.0111910915557576,Muntiacus_Avg_FLLI_3km_Linear_2025-01-04_JMS,0.807218554416054,21.1,NA,NA,NA,Forest Integrity
Muntiacus,Avg_FLLI_3km,Quadratic,8282.088004682853,0.59175,1.0105021815569062,Muntiacus_Avg_FLLI_3km_Quadratic_2025-01-04_JMS,0.9702951481453232,8.3,NA,NA,NA,Forest Integrity
Muntiacus,Avg_FLLI_3km,Cubic,8265.852517407104,0.59775,1.0114458835293532,Muntiacus_Avg_FLLI_3km_Cubic_2025-01-14_JMS,0.9590982936097251,9.7,NA,NA,NA,Forest Integrity
Muntiacus,Avg_human_footprint_3km,GAM,8453.052388666769,0.315,0.9767854315242791,Muntiacus_Avg_human_footprint_3km_GAM_2025-01-04_JMS,NA,NA,NA,NA,NA,Human Footprint
Muntiacus,Avg_human_footprint_3km,Linear,8405.384777070558,0.599375,1.0118948537347066,Muntiacus_Avg_human_footprint_3km_Linear_2025-01-04_JMS,0.6394782074681737,31.1,NA,NA,NA,Human Footprint
Muntiacus,Avg_human_footprint_3km,Quadratic,8204.661418481555,0.601125,1.0123951888804308,Muntiacus_Avg_human_footprint_3km_Quadratic_2025-01-04_JMS,0.8456862100162712,20.2,NA,NA,NA,Human Footprint
Muntiacus,Avg_human_footprint_3km,Cubic,8182.882052807808,0.60575,1.0125834900767556,Muntiacus_Avg_human_footprint_3km_Cubic_2025-01-04_JMS,0.951782247290987,13.5,NA,NA,NA,Human Footprint
Muntiacus,Avg_forest_cover_3km,GAM,8246.52812842586,0.308875,0.9755277302317277,Muntiacus_Avg_forest_cover_3km_GAM_2025-01-04_JMS,NA,NA,NA,NA,NA,Forest Cover
Muntiacus,Avg_forest_cover_3km,Linear,8227.019756625035,0.616,1.013096581865107,Muntiacus_Avg_forest_cover_3km_Linear_2025-01-04_JMS,-0.4795113479957928,57.3,NA,NA,NA,Forest Cover
Muntiacus,Avg_forest_cover_3km,Quadratic,8234.5242100241,0.606125,1.0126671413749682,Muntiacus_Avg_forest_cover_3km_Quadratic_2025-01-04_JMS,0.713842668702941,28.5,NA,NA,NA,Forest Cover
Muntiacus,Avg_forest_cover_3km,Cubic,7940.676636889336,0.592375,1.011221867446585,Muntiacus_Avg_forest_cover_3km_Cubic_2025-01-04_JMS,0.9176794401280167,20.4,NA,NA,NA,Forest Cover
