Species,Covariate,Model_Type,DIC,Bayes_P,C_Hat,modname,correlation_GAM,nrmse_GAM,LOOIC,LOOIC_lower,LOOIC_upper,cov_name
Rusa unicolor,Avg_FLLI_3km,Linear,5783.047611592138,0.5025,0.9997972792190806,Rusa_unicolor_Avg_FLLI_3km_Linear_2024-12-31_JMS,0.9211989752637209,22.3,8466.837459628414,8013.293806194713,8920.381113062114,Forest Integrity
Rusa unicolor,Avg_FLLI_3km,Quadratic,3422.8480683261987,0.65475,1.0131516065846868,Rusa_unicolor_Avg_FLLI_3km_Quadratic_2024-12-31_JMS,0.6890874494877497,35.6,8799.306724014585,8298.76338053326,9299.850067495909,Forest Integrity
Rusa unicolor,Avg_FLLI_3km,Cubic,3981.513871073579,0.53275,1.0019961480910367,Rusa_unicolor_Avg_FLLI_3km_Cubic_2024-12-31_JMS,0.7030374955681352,78.7,8432.188687100117,7977.286030086894,8887.09134411334,Forest Integrity
Rusa unicolor,Avg_human_footprint_3km,GAM,5852.577503559794,0.364375,0.9645636582243735,Rusa_unicolor_Avg_human_footprint_3km_GAM_2024-12-31_JMS,NA,NA,8667.947262871257,8142.190162863085,9193.704362879429,Human Footprint
Rusa unicolor,Avg_human_footprint_3km,Linear,6357.155476097514,0.611375,1.0194598864803153,Rusa_unicolor_Avg_human_footprint_3km_Linear_2024-12-31_JMS,0.9945574356440872,32.8,8655.760628590593,8197.422013286914,9114.099243894272,Human Footprint
Rusa unicolor,Avg_human_footprint_3km,Quadratic,3942.9981950318306,0.660375,1.0151584800276658,Rusa_unicolor_Avg_human_footprint_3km_Quadratic_2024-12-31_JMS,0.9769634523975776,19.8,8513.082906500791,8056.322845111041,8969.842967890541,Human Footprint
Rusa unicolor,Avg_human_footprint_3km,Cubic,7865.664021734562,0.67725,1.0256569272945455,Rusa_unicolor_Avg_human_footprint_3km_Cubic_2024-12-31_JMS,0.1688630228455555,136.7,9101.376668505945,8542.328987509052,9660.424349502839,Human Footprint
Rusa unicolor,Avg_forest_cover_3km,GAM,9869.391629924787,0.5545,1.0042733401109365,Rusa_unicolor_Avg_forest_cover_3km_GAM_2024-12-31_JMS,NA,NA,8401.731354109494,7950.88800512326,8852.574703095728,Forest Cover
Rusa unicolor,Avg_forest_cover_3km,Linear,3551.830529682765,0.625375,1.0098118809490062,Rusa_unicolor_Avg_forest_cover_3km_Linear_2024-12-31_JMS,0.49152548937053014,57.4,8521.313919027452,8064.932798721342,8977.695039333563,Forest Cover
Rusa unicolor,Avg_forest_cover_3km,Quadratic,5809.411734104265,0.48125,0.9983962656142978,Rusa_unicolor_Avg_forest_cover_3km_Quadratic_2024-12-31_JMS,0.9849426800999467,158.6,8406.698759339835,7953.102660579139,8860.294858100531,Forest Cover
Rusa unicolor,Avg_forest_cover_3km,Cubic,2899.3242756635127,0.714375,1.0264430693282227,Rusa_unicolor_Avg_forest_cover_3km_Cubic_2024-12-31_JMS,0.9524869258935033,145.8,8535.492853111597,8076.880112089942,8994.10559413325,Forest Cover
Muntiacus,Avg_OP_percent_3km,GAM,9467.724847267511,0.549,1.0016464513559404,Muntiacus_Avg_OP_percent_3km_GAM_2024-12-31_JMS,NA,NA,6737.97982384248,6477.760758229483,6998.198889455477,Oil Palm
Muntiacus,Avg_OP_percent_3km,Linear,19083.347263147505,0.61875,1.0046764897055342,Muntiacus_Avg_OP_percent_3km_Linear_2024-12-31_JMS,0.9980987576151389,22.3,6732.594942824855,6470.435025495243,6994.754860154467,Oil Palm
Muntiacus,Avg_OP_percent_3km,Quadratic,4493.214239991059,0.35612499999999997,0.9413760138669515,Muntiacus_Avg_OP_percent_3km_Quadratic_2024-12-31_JMS,0.9930185952898244,25,8824.307100553053,8385.653756697135,9262.960444408971,Oil Palm
Muntiacus,Avg_OP_percent_3km,Cubic,14249.690654591177,0.41025,0.9836722516456686,Muntiacus_Avg_OP_percent_3km_Cubic_2024-12-31_JMS,0.7494059920571327,43.4,6983.54789304259,6598.9913108249875,7368.104475260192,Oil Palm
Muntiacus,Avg_FLLI_3km,GAM,4739.885022693276,0.53825,1.0010153909986503,Muntiacus_Avg_FLLI_3km_GAM_2024-12-31_JMS,NA,NA,6742.689233849278,6480.612010714445,7004.766456984111,Forest Integrity
